"entr_tag_id","entr_tag_name","logical_node","sensor_name","presentation_name","si_unit","value_type","data_type","collector_type"
"2194","WTRM.ShftBrkTmp_10m_Min","WTRM.","ShftBrkTmp_10m_Min","Generator Shaft Brake Temp","°C","Minimum","Double","10 minute tag"
"2195","WTRM.ShftBrkTmp_10m_Std","WTRM.","ShftBrkTmp_10m_Std","Generator Shaft Brake Temp","°C","Standard Deviation","Double","10 minute tag"
"2196","WTRM.ShftBrkTnkPres","WTRM.","ShftBrkTnkPres","Hydraulic pressure in accumulation tank for shaft brake","bar","Live Value","Double","Live Value"
"2197","WTRM.ShftBrkTnkPres_10m_Avg","WTRM.","ShftBrkTnkPres_10m_Avg","Hydraulic pressure in accumulation tank for shaft brake","bar","Average","Double","10 minute tag"
"2198","WTRM.ShftBrkTnkPres_10m_Max","WTRM.","ShftBrkTnkPres_10m_Max","Hydraulic pressure in accumulation tank for shaft brake","bar","Maximum","Double","10 minute tag"
"2199","WTRM.ShftBrkTnkPres_10m_Min","WTRM.","ShftBrkTnkPres_10m_Min","Hydraulic pressure in accumulation tank for shaft brake","bar","Minimum","Double","10 minute tag"
"2200","WTRM.ShftBrkTnkPres_10m_Std","WTRM.","ShftBrkTnkPres_10m_Std","Hydraulic pressure in accumulation tank for shaft brake","bar","Standard Deviation","Double","10 minute tag"
"2201","WTRM.WtrPmpCnt_10m_End","WTRM.","WtrPmpCnt_10m_End","Number of activations of cooling water pump","Count","Endvalue","Long","10 minute tag"
"2202","WTRM.WtrPmpTms_10m_End","WTRM.","WtrPmpTms_10m_End","Time cooling water pump has been activated","seconds","Endvalue","Long","10 minute tag"
"2203","WTUR.AlmTms","WTUR.","AlmTms","Time with an alarm","seconds","Total Counter","Long","Live Value"
"2204","WTUR.AlmTms_10m_End","WTUR.","AlmTms_10m_End","Time with an alarm","seconds","Endvalue","Long","10 minute tag"
"2205","WTUR.AlmTms_10m_Sum","WTUR.","AlmTms_10m_Sum","Time with an alarm","seconds","Summation","Long","10 minute tag"
"2206","WTUR.AlmTms_Dly_Sum","WTUR.","AlmTms_Dly_Sum","Time with an alarm","seconds","Summation","Long","Daily tag"
"2207","WTUR.AlmTms_Mly_Sum","WTUR.","AlmTms_Mly_Sum","Time with an alarm","seconds","Summation","Long","Monthly tag"
"2208","WTUR.AvlTms_10m_End","WTUR.","AvlTms_10m_End","Time that turbine is available to produce","seconds","Endvalue","Long","10 minute tag"
"2209","WTUR.BstAct","WTUR.","BstAct","Utilized power boost","Enum","Live Value","Long","Live Value"
"2210","WTUR.BstAvl","WTUR.","BstAvl","Power boost available","Enum","Live Value","Long","Live Value"
"2211","WTUR.BstSt","WTUR.","BstSt","Boost status","Enum","Live Value","Long","Live Value"
"2212","WTUR.BstWh","WTUR.","BstWh","Total accumulated boost energy","Wh","Live Value","Double","Live Value"
"2213","WTUR.CapFact","WTUR.","CapFact","Capacity factor","percent","Live Value","Double","Live Value"
"2214","WTUR.CapFact_Dly_Sum","WTUR.","CapFact_Dly_Sum","Capactity factor Daily ","percent","Summation","Double","Daily tag"
"2215","WTUR.CapFact_Mly_Sum","WTUR.","CapFact_Mly_Sum","Capactity factor Monthly","percent","Summation","Double","Monthly tag"
"2216","WTUR.CapFact_Yly_Sum","WTUR.","CapFact_Yly_Sum","Capactity factor Yearly ","percent","Summation","Double","Yearly tag"
"2217","WTUR.CommErrTms","WTUR.","CommErrTms","Time with communication SCADA lost","seconds","Total Counter","Long","Live Value"
"2218","WTUR.CommErrTms_Dly_Sum","WTUR.","CommErrTms_Dly_Sum","Time with communication SCADA lost","seconds","Summation","Long","Daily tag"
"2219","WTUR.CstmStopSt","WTUR.","CstmStopSt","Status for TDI-command","Enum","Live Value","Long","Live Value"
"2220","WTUR.CstmStopTms","WTUR.","CstmStopTms","Downtime due to customer stop","seconds","Total Counter","Long","Live Value"
"2221","WTUR.CstmStopTms_10m_End","WTUR.","CstmStopTms_10m_End","Downtime due to customer stop ","seconds","Endvalue","Long","10 minute tag"
"2222","WTUR.CtlSt","WTUR.","CtlSt","Remote control state","Enum","Live Value","Long","Live Value"
"2223","WTUR.CtlVer","WTUR.","CtlVer","Turbine Controller Version","String","Live Value","String","Live Value"
"2224","WTUR.DateTime","WTUR.","DateTime","Turbine controller Date and Time","DateTime","Live Value","DateTime","Live Value"
"2225","WTUR.DmdIntWSpt","WTUR.","DmdIntWSpt","Internal Active power setpoint","W","Setpoint","Double","Live Value"
"2226","WTUR.DmdPFSpt","WTUR.","DmdPFSpt","Turbine Power factor setpoint","Pf","Setpoint","Double","Live Value"
"2227","WTUR.DmdPFSpt_10m_Avg","WTUR.","DmdPFSpt_10m_Avg","Turbine Power factor setpoint","Pf","Average","Double","10 minute tag"
"2228","WTUR.DmdPFSt","WTUR.","DmdPFSt","Turbine power factor mode","Enum","Live Value","Long","Live Value"
"2229","WTUR.DmdSpdSpt","WTUR.","DmdSpdSpt","Turbine speed setpoint","RPM","Setpoint","Double","Live Value"
"2230","WTUR.DmdSpdSpt_10m_Avg","WTUR.","DmdSpdSpt_10m_Avg","Turbine speed setpoint","RPM","Average","Double","10 minute tag"
"2231","WTUR.DmdSpdSpt_10m_Max","WTUR.","DmdSpdSpt_10m_Max","Turbine speed setpoint","RPM","Maximum","Double","10 minute tag"
"2232","WTUR.DmdSpdSpt_10m_Min","WTUR.","DmdSpdSpt_10m_Min","Turbine speed setpoint","RPM","Minimum","Double","10 minute tag"
"2233","WTUR.DmdSpdSpt_10m_Std","WTUR.","DmdSpdSpt_10m_Std","Turbine speed setpoint","RPM","Standard Deviation","Double","10 minute tag"
"2234","WTUR.DmdVArh","WTUR.","DmdVArh","Reactive energy demand","VArh","Total Counter","Double","Live Value"
"2235","WTUR.DmdVArh_10m_End","WTUR.","DmdVArh_10m_End","Reactive energy demand","VArh","Endvalue","Double","10 minute tag"
"2236","WTUR.DmdVArh_10m_Sum","WTUR.","DmdVArh_10m_Sum","Reactive energy demand","VArh","Summation","Double","10 minute tag"
"2237","WTUR.DmdVArh_Dly_End","WTUR.","DmdVArh_Dly_End","Reactive energy demand","VArh","Endvalue","Double","Daily tag"
"2238","WTUR.DmdVArh_Dly_Sum","WTUR.","DmdVArh_Dly_Sum","Reactive energy demand","VArh","Summation","Double","Daily tag"
